1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
ALLOYS, SUNROOF, LOW INSURANCE,CAT Write-off Category IconDCreated with Sketch.,2005 (05 reg),Hatchback,59,000 miles,Manual,1.2L,75 bhp,00,990,Renault Clio 1.1 DYNAMIQUE 16V 3d 75 BHP,http://83.170.105.134/164.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=a787ceaa30c948f9aad9caacfa6f76a7&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/21977/images/searchsso.gif
ALLOYS, SUNROOF, LOW INSURANCE,CAT Write-off Category IconDCreated with Sketch.,2005 (05 reg),Hatchback,59,000 miles,Manual,1.2L,75 bhp,00,990,Renault Clio 1.1 DYNAMIQUE 16V 3d 75 BHP,http://83.170.105.134/657.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=a787ceaa30c948f9aad9caacfa6f76a7&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/21977/images/searchsso.gif
ALLOYS, SUNROOF, LOW INSURANCE,CAT Write-off Category IconDCreated with Sketch.,2005 (05 reg),Hatchback,59,000 miles,Manual,1.2L,75 bhp,00,990,Renault Clio 1.1 DYNAMIQUE 16V 3d 75 BHP,http://83.170.105.134/969.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=a787ceaa30c948f9aad9caacfa6f76a7&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/21977/images/searchsso.gif
NEW SHAPE+ONE YEAR MOT+2 KEYS,CAT Write-off Category IconDCreated with Sketch.,2005 (54 reg),Hatchback,125,000 miles,Manual,1.6L,108 bhp,00,949,Honda Civic 1.6 i-VTEC SE Hatchback 5dr,http://83.170.105.134/149.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=a02de0b7080c4716be89333ce3d4d6f7&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/859154/images/searchlogo.gif
FSH+Perfect Condition+Long MOT,CAT Write-off Category IconDCreated with Sketch.,2005 (54 reg),Coupe,79,000 miles,Manual,1.6L,101 bhp,01,150,Vauxhall Astra 1.6 i 16v Coupe 2dr Petrol Manual (158 g/km, 101 bhp),http://83.170.105.134/240.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=a85a80a2749c41c88e608d9ae53f05f9&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10003996/images/searchlogo.gif
AA Cover-6M WARRANTY-1Y.MOT,CAT Write-off Category IconDCreated with Sketch.,2004 (54 reg),Hatchback,90,000 miles,Manual,1.6L,116 bhp,01,450,MINI Hatch Cooper 1.6i 16v 3dr,http://83.170.105.134/332.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=994f8942fe124602bb86f0428dba1cfc&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10000426/images/search.gif
CRUISE CONTROL/AUTOMATIC,CAT Write-off Category IconCCreated with Sketch.,2007 (57 reg),Hatchback,51,324 miles,Automatic,1.6L,110 bhp,01,495,Citroen C4 1.6 i 16v SX 5dr,http://83.170.105.134/388.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=a925a02df465452799cc2357c2f68473&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10003035/images/searchlogo.gif
NEW SHAPE+ONE YEAR MOT+2 KEYS,CAT Write-off Category IconDCreated with Sketch.,2005 (54 reg),Hatchback,125,000 miles,Manual,1.6L,108 bhp,00,949,Honda Civic 1.6 i-VTEC SE Hatchback 5dr,http://83.170.105.134/642.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=a02de0b7080c4716be89333ce3d4d6f7&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/859154/images/searchlogo.gif
FSH+Perfect Condition+Long MOT,CAT Write-off Category IconDCreated with Sketch.,2005 (54 reg),Coupe,79,000 miles,Manual,1.6L,101 bhp,01,150,Vauxhall Astra 1.6 i 16v Coupe 2dr Petrol Manual (158 g/km, 101 bhp),http://83.170.105.134/733.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=a85a80a2749c41c88e608d9ae53f05f9&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10003996/images/searchlogo.gif
NEW SHAPE+ONE YEAR MOT+2 KEYS,CAT Write-off Category IconDCreated with Sketch.,2005 (54 reg),Hatchback,125,000 miles,Manual,1.6L,108 bhp,00,949,Honda Civic 1.6 i-VTEC SE Hatchback 5dr,http://83.170.105.134/954.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=a02de0b7080c4716be89333ce3d4d6f7&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/859154/images/searchlogo.gif
WARRANTY,PX TO CLEAR,CAT D!,CAT Write-off Category IconDCreated with Sketch.,2008 (58 reg),Hatchback,77,629 miles,Manual,1.8L,138 bhp,01,280,Vauxhall Vectra 1.8 i VVT Life 5dr,http://83.170.105.134/263.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=b65aa9970c924af3a4d06f7bc55eeea4&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10011532/images/searchlogo.gif
WARRANTY,PX TO CLEAR,CAT D!,CAT Write-off Category IconDCreated with Sketch.,2008 (58 reg),Hatchback,77,629 miles,Manual,1.8L,138 bhp,01,280,Vauxhall Vectra 1.8 i VVT Life 5dr,http://83.170.105.134/276.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=b65aa9970c924af3a4d06f7bc55eeea4&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10011532/images/searchlogo.gif
WARRANTY,PX TO CLEAR,CAT D!,CAT Write-off Category IconDCreated with Sketch.,2008 (58 reg),Hatchback,77,629 miles,Manual,1.8L,138 bhp,01,280,Vauxhall Vectra 1.8 i VVT Life 5dr,http://83.170.105.134/756.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=b65aa9970c924af3a4d06f7bc55eeea4&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10011532/images/searchlogo.gif
,CAT Write-off Category IconCCreated with Sketch.,2007 (57 reg),Hatchback,108,000 miles,Manual,1.9L,118 bhp,00,985,Vauxhall Vectra 1.9 SRI CDTI 8V 5d 120 BHP Please Call On ???,http://83.170.105.134/654.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c264ec56b8e54ea3bece08b6dd051474&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10002997/images/searchlogo.gif
,CAT Write-off Category IconCCreated with Sketch.,2007 (57 reg),Hatchback,108,000 miles,Manual,1.9L,118 bhp,00,985,Vauxhall Vectra 1.9 SRI CDTI 8V 5d 120 BHP Please Call On ???,http://83.170.105.134/966.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c264ec56b8e54ea3bece08b6dd051474&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10002997/images/searchlogo.gif
GOOD TO DRIVE,1999 (T reg),Hatchback,128,000 miles,Manual,1.6L,100 bhp,Petrol,00,700,Volkswagen Golf 1.6 SE 5dr,http://83.170.105.134/89.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=dabda21a517e433f9c8a50a32bdc0018&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10007797/images/searchlogo.gif
15 month warranty/breakdown,2007 (57 reg),Hatchback,96,320 miles,Manual,1.4L,100 bhp,Petrol,01,250,Renault Megane 1.4 16v Extreme 3dr,http://83.170.105.134/258.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=02699061e8544132976c51eb86cbadcd&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/1110532/images/searchlogo.gif
YES ONLY 75K MILES!,2003 (03 reg),Hatchback,75,000 miles,Manual,1.4L,100 bhp,Petrol,01,695,Volkswagen Polo 1.4 Sport 5dr,http://83.170.105.134/491.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=1f1a459138924e9da3ddf8dca5d5a2d9&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10008060/images/searchlogo.gif
3 months warranty,2008 (08 reg),Hatchback,83,383 miles,Manual,1.2L,100 bhp,Petrol,01,700,Renault Clio 1.2 TCe 16v Dynamique 5dr,http://83.170.105.134/503.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=f2c81fc387e14f5e87899d30aec10fbe&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10009117/images/searchlogo.gif
GOOD TO DRIVE,1999 (T reg),Hatchback,128,000 miles,Manual,1.6L,100 bhp,Petrol,00,700,Volkswagen Golf 1.6 SE 5dr,http://83.170.105.134/582.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=dabda21a517e433f9c8a50a32bdc0018&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10007797/images/searchlogo.gif
15 month warranty/breakdown,2007 (57 reg),Hatchback,96,320 miles,Manual,1.4L,100 bhp,Petrol,01,250,Renault Megane 1.4 16v Extreme 3dr,http://83.170.105.134/751.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=02699061e8544132976c51eb86cbadcd&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/1110532/images/searchlogo.gif
GOOD TO DRIVE,1999 (T reg),Hatchback,128,000 miles,Manual,1.6L,100 bhp,Petrol,00,700,Volkswagen Golf 1.6 SE 5dr,http://83.170.105.134/894.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=dabda21a517e433f9c8a50a32bdc0018&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10007797/images/searchlogo.gif
DECEMBER SALE NOW ON!,2006 (06 reg),Hatchback,105,884 miles,Manual,1.5L,101 bhp,Petrol,01,400,Suzuki Swift GLX VVTS 1.5 3dr,http://83.170.105.134/321.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=bc8735ed001342f084593ae4c0a4e38c&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/285929/images/search1.gif
(A PX TO CLEAR),2005 (05 reg),Hatchback,101,100 miles,Automatic,1.5L,101 bhp,Petrol,01,500,Suzuki Swift 1.5 GLX Auto 5dr,http://83.170.105.134/423.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=644dfb753c8e4c6f907839ff0e9d9004&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/284772/images/search_logo2.gif
TRADE CLEARANCE,2003 (03 reg),Hatchback,82,986 miles,Manual,1.6L,102 bhp,Petrol,01,490,Volkswagen Beetle 1.6 8V 3d 101 BHP,http://83.170.105.134/366.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=b5b94da9baad48d593e06b5c228d99d7&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/353879/images/adv_logo.gif
LOVED AND CHERISHED FROM NEW,2003 (53 reg),Hatchback,65,000 miles,Manual,1.6L,102 bhp,Petrol,01,490,Volkswagen Beetle 1.6 3dr,http://83.170.105.134/373.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=452e1d5700d04bc7a8b6522843cc7f2b&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10006087/images/searchlogo.gif
part exchange to clear,2002 (52 reg),Saloon,85,000 miles,Automatic,1.6L,102 bhp,Petrol,01,499,Volkswagen Bora 1.6 SE Saloon 4dr Petrol Automatic (194 g/km, 102 ???,http://83.170.105.134/408.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=9366c3c39beb448dbac6a261c3547004&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/652176/images/searchlogo.gif
HPI Clear, Warranty Available,2006 (06 reg),Hatchback,96,461 miles,Manual,1.6L,102 bhp,Petrol,01,700,Volkswagen Beetle 1.6 Luna 3dr,http://83.170.105.134/504.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=a8fb7ecf89a24313986f8a67c485d9e1&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10004641/images/searchlogo.gif
,2005 (55 reg),Hatchback,114,000 miles,Manual,1.6L,103 bhp,Petrol,00,600,Hyundai Accent GSI 1.6 5dr,https://www.autotrader.co.uk/images/noimage/no_image_266x200.png,https://www.autotrader.co.uk/images/noimage/no_image_266x200.png,https://dealerlogo.atcdn.co.uk/at2/adbranding/585919/images/searchlogo.gif
,2005 (55 reg),Hatchback,114,000 miles,Manual,1.6L,103 bhp,Petrol,00,600,Hyundai Accent GSI 1.6 5dr,https://www.autotrader.co.uk/images/noimage/no_image_266x200.png,https://www.autotrader.co.uk/images/noimage/no_image_266x200.png,https://dealerlogo.atcdn.co.uk/at2/adbranding/585919/images/searchlogo.gif
GOOD RUNNER+LONG MOT,2005 (55 reg),Hatchback,105,000 miles,Manual,1.6L,103 bhp,Petrol,00,750,Seat Leon 1.6 16v S 5dr,http://83.170.105.134/100.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=01bfe740906842e4a839b0f9b8c5c966&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/859154/images/searchlogo.gif
LONG MOT,2005 (05 reg),MPV,58,704 miles,Manual,1.6L,103 bhp,Petrol,00,880,Chevrolet Tacuma 1.6 SX 5dr,http://83.170.105.134/132.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=f29dadb36e4d4a598c67252dcb5747d7&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/713060/images/search.gif
Low Miles,Long mot,2004 (04 reg),Hatchback,68,000 miles,Manual,1.6L,103 bhp,Petrol,00,999,Vauxhall Astra 1.6 i 16v SXi 5dr,http://83.170.105.134/210.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=b515b818e2784aaba806b6991e73d85f&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10009461/images/searchlogo.gif
TIDY PX JUNE 2018 MOT,2005 (05 reg),Hatchback,103,900 miles,Manual,1.6L,103 bhp,Petrol,01,290,Vauxhall Astra 1.6 i 16v Club 5dr,http://83.170.105.134/266.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=e6615214b3b6403d96ae65ac1e8d1318&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10002397/images/searchlogo.gif
TIDY PX JUNE 2018 MOT,2005 (05 reg),Hatchback,103,900 miles,Manual,1.6L,103 bhp,Petrol,01,290,Vauxhall Astra 1.6 i 16v Club 5dr,http://83.170.105.134/279.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=e6615214b3b6403d96ae65ac1e8d1318&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10002397/images/searchlogo.gif
CHERISHED BY LADY OWNER,2005 (05 reg),Hatchback,95,000 miles,Manual,1.6L,103 bhp,Petrol,01,490,Mazda3 1.6 TS2 Hatchback 5dr,http://83.170.105.134/356.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=3c9618b6bdbe497a838ece67b14e46e0&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10006087/images/searchlogo.gif
Long MOT Golf Plus Diesel Car,2006 (56 reg),Hatchback,183,217 miles,Manual,1.9L,103 bhp,Diesel,01,490,Volkswagen Golf Plus SE 1.9 Tdi PD 105PS 5dr,http://83.170.105.134/358.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=d8c1bc283df84c928231cae36ab1924c&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/307947/images/searchlogo1.gif
12 months mot,2007 (56 reg),MPV,95,000 miles,Manual,1.6L,103 bhp,Petrol,01,495,Vauxhall Zafira 1.6 i 16v Life 5dr,http://83.170.105.134/382.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=f770a46fbb8344c5a39832a709b04acb&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10000951/images/searchlogo.gif
12 months mot,2007 (07 reg),MPV,114,000 miles,Manual,1.6L,103 bhp,Petrol,01,495,Vauxhall Zafira 1.6 i 16v Club 5dr,http://83.170.105.134/395.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=3e08300423634d058399ab21550ddafb&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10000951/images/searchlogo.gif
7 SEATER TEST JANUARY 2018,2006 (56 reg),MPV,104,000 miles,Manual,1.6L,103 bhp,Petrol,01,495,Vauxhall Zafira 1.6 i 16v Life 5dr,http://83.170.105.134/401.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=d74a63f6756d4b04bb9417962f7b8f27&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/27742/images/newcarsearchlogo.gif
PETROL MANUAL,2006 (06 reg),Hatchback,95,000 miles,Manual,1.6L,103 bhp,Petrol,01,500,Mazda3 1.6 TS2 Hatchback 5dr,https://www.autotrader.co.uk/images/noimage/no_image_266x200.png,https://www.autotrader.co.uk/images/noimage/no_image_266x200.png,https://dealerlogo.atcdn.co.uk/at2/adbranding/748496/images/searchlogo.gif
JUST SERVICED+MOT,CLEAN MAZDA,2005 (05 reg),Hatchback,75,000 miles,Manual,1.6L,103 bhp,Petrol,01,700,Mazda3 1.6 TS Hatchback 5dr,http://83.170.105.134/502.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=d195e77e2e384208bbc1d2c14a951357&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10007797/images/searchlogo.gif
,2005 (55 reg),Hatchback,114,000 miles,Manual,1.6L,103 bhp,Petrol,00,600,Hyundai Accent GSI 1.6 5dr,https://www.autotrader.co.uk/images/noimage/no_image_266x200.png,https://www.autotrader.co.uk/images/noimage/no_image_266x200.png,https://dealerlogo.atcdn.co.uk/at2/adbranding/585919/images/searchlogo.gif
GOOD RUNNER+LONG MOT,2005 (55 reg),Hatchback,105,000 miles,Manual,1.6L,103 bhp,Petrol,00,750,Seat Leon 1.6 16v S 5dr,http://83.170.105.134/593.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=01bfe740906842e4a839b0f9b8c5c966&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/859154/images/searchlogo.gif
LONG MOT,2005 (05 reg),MPV,58,704 miles,Manual,1.6L,103 bhp,Petrol,00,880,Chevrolet Tacuma 1.6 SX 5dr,http://83.170.105.134/622.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=f29dadb36e4d4a598c67252dcb5747d7&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/713060/images/search.gif
Low Miles,Long mot,2004 (04 reg),Hatchback,68,000 miles,Manual,1.6L,103 bhp,Petrol,00,999,Vauxhall Astra 1.6 i 16v SXi 5dr,http://83.170.105.134/700.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=b515b818e2784aaba806b6991e73d85f&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10009461/images/searchlogo.gif
TIDY PX JUNE 2018 MOT,2005 (05 reg),Hatchback,103,900 miles,Manual,1.6L,103 bhp,Petrol,01,290,Vauxhall Astra 1.6 i 16v Club 5dr,http://83.170.105.134/759.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=e6615214b3b6403d96ae65ac1e8d1318&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10002397/images/searchlogo.gif
,2005 (55 reg),Hatchback,114,000 miles,Manual,1.6L,103 bhp,Petrol,00,600,Hyundai Accent GSI 1.6 5dr,https://www.autotrader.co.uk/images/noimage/no_image_266x200.png,https://www.autotrader.co.uk/images/noimage/no_image_266x200.png,https://dealerlogo.atcdn.co.uk/at2/adbranding/585919/images/searchlogo.gif
,2005 (55 reg),Hatchback,114,000 miles,Manual,1.6L,103 bhp,Petrol,00,600,Hyundai Accent GSI 1.6 5dr,https://www.autotrader.co.uk/images/noimage/no_image_266x200.png,https://www.autotrader.co.uk/images/noimage/no_image_266x200.png,https://dealerlogo.atcdn.co.uk/at2/adbranding/585919/images/searchlogo.gif
GOOD RUNNER+LONG MOT,2005 (55 reg),Hatchback,105,000 miles,Manual,1.6L,103 bhp,Petrol,00,750,Seat Leon 1.6 16v S 5dr,http://83.170.105.134/905.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=01bfe740906842e4a839b0f9b8c5c966&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/859154/images/searchlogo.gif
LONG MOT,2005 (05 reg),MPV,58,704 miles,Manual,1.6L,103 bhp,Petrol,00,880,Chevrolet Tacuma 1.6 SX 5dr,http://83.170.105.134/934.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=f29dadb36e4d4a598c67252dcb5747d7&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/713060/images/search.gif
MOT JULY 2018,2004 (54 reg),Hatchback,77,000 miles,Manual,1.6L,104 bhp,Petrol,00,995,Hyundai Getz 1.6 CDX 5d 104 BHP 2 Keys, Low miles,http://83.170.105.134/176.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c3c22ea838814449ae5bd968f2d6d9a6&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/490215/images/searchlogo.gif
MOT JULY 2018,2004 (54 reg),Hatchback,77,000 miles,Manual,1.6L,104 bhp,Petrol,00,995,Hyundai Getz 1.6 CDX 5d 104 BHP 2 Keys, Low miles,http://83.170.105.134/669.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c3c22ea838814449ae5bd968f2d6d9a6&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/490215/images/searchlogo.gif
MOT JULY 2018,2004 (54 reg),Hatchback,77,000 miles,Manual,1.6L,104 bhp,Petrol,00,995,Hyundai Getz 1.6 CDX 5d 104 BHP 2 Keys, Low miles,http://83.170.105.134/981.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c3c22ea838814449ae5bd968f2d6d9a6&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/490215/images/searchlogo.gif
