"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","rotator_image","amazon_description","backorders_leadtime","orders_leadtime","timershow","google_category","brand","mpn","gtin","price","special_price","weight","msrp","productcommission","deliverycharge","status","is_recurring","visibility","tax_class_id","featured","use_config_backorders_leadtime","use_base_backorders_leadtime","use_config_orders_leadtime","use_base_orders_leadtime","deliveryallowloss","deliveryallowtocombine","deliverybythirdparty","medma_is_featured","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","custom_design"
"admin","base,yabadabadoo,hotbuyer,iwo2,amazon","Default","simple","4,5,20,24","FATBALL1","0","Original Suet Fat Balls 12.55kg","","","/f/b/fb1.jpg","/f/b/fb1.jpg","/f/b/fb1.jpg","original-suet-fat-balls-12-55kg-equivalent-to-approx-150","original-suet-fat-balls-12-55kg-equivalent-to-approx-150.html","No layout updates","Product Info Column","","","","United Kingdom","Use config","Use config","No","/f/b/fb2.jpg","Original Suet Fat Balls 12.55kg (equivalent to approx.150)","","","0","Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Food","","","","8.9900","","12500.0000","24.9900","0.0000","2.9900","Enabled","No","Catalog, Search","None","Yes","0","","0","","No","No","No","No","<p><em>Buy two boxes for even better value!</em></p>

<p><strong><span style=""text-decoration: underline;"">Composition</span></strong></p>

<p><span>Cereals, oil, fat, flour, black sunflower seeds, kibbled corn maize, minerals and mix seeds.</span></p>

<p><strong><span style=""text-decoration: underline;"">Product Details</span></strong></p>

<p>The 12.55kg of Original Suet Fat balls, are equivalent to approximately 150 individual fat balls.</p>

<p><span>Original Flavour Fat Balls are an all-natural blend of beef fat, wheat, sunflower seeds and calcium sourced in the UK, where possible, to provide a high energy and nutritious food source for a wide variety of wild birds. All the ingredients used for the Fatballs are sourced from reputable, local, national UK and international suppliers and are subject to strict quality controls to ensure suitability and quality. The fat in these fat balls is graded as the highest food grade and is packed with energy to help wild birds during demanding times.</span></p>

<p><span>The wheat is from local growers and is particularly attractive to the declining Houseparrow as well as many other species. A natural source of calcium is added to standard fat balls to provide wild birds with a means to maintain healthy bones and eggs. Standard Fat Balls are most commonly fed using specially made Fat Ball Feeders. Another method is to break up the fat balls and feed directly from the ground, on bird tables, or mixed with other foods such as Peanuts or Seed Mixes.</span></p>

<p><span>These Fat Balls are suitable for all year round feeding and will help a wide variety of wild birds survive through harsh Winters, and busy Spring/Summer breeding seasons in particular.&nbsp;</span></p>

<p><span>Please note; due to carriage and the fragile nature of the product it can be common for up to 10% of fat balls to be broken at the bottom of the box, but don't worry as the birds still eat them all the same.</span></p>","An all-natural blend of beef fat, wheat, sunflower seeds and calcium to provide a high energy and nutritious food source for a wide variety of wild birds.","","","","","","","","","61.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","1","0","0","1","0.0000","1","0","0","0","1","Original Suet Fat Balls 12.55kg","0","simple","","",""
"admin","base,yabadabadoo,hotbuyer,iwo2,dealnation,amazon","Default","simple","18,19,20,24","10001","0","6000 Loom Band Kit Complete Collection Box","","","/l/o/loom.png","/l/o/loom.png","/l/o/loom.png","loom-bands-kit-complete-collection-box-includes-6000-loom-rubber-bands-storge-box-200-clips-12-charms-hooks-loom-board-fun-projects-make-rubber-band-bracelets-rings-necklaces-hours-of-creative-fun","loom-bands-kit-complete-collection-box-includes-6000-loom-rubber-bands-storge-box-200-clips-12-charms-hooks-loom-board-fun-projects-make-rubber-band-bracelets-rings-necklaces-hours-of-creative-fun.html","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","/l/o/loom.png","Loom Bands Kit Complete Collection Box-Includes 6000 Loom Rubber Bands+Storge Box+200 Clips+12 Charms+Hooks+Loom Board Fun Projects Make Rubber Band Bracelets Rings Necklaces-Hours Of Creative Fun","","","0","Arts & Entertainment > Hobbies & Creative Arts > Crafts & Hobbies > Fibercraft & Textile Arts > Textile Art Tools & Accessories > Looms","","","","7.9900","","100.0000","","","","Enabled","No","Catalog, Search","Taxable Goods","No","0","","0","","","","","","<p>Includes 6000 Loom Rubber Bands + Storge Box + 200 Clips + 12 Charms + Hooks + Loom</p>

<p>This must-have accessory is great fun for kids to teens. Have loads of fun creating your own unique friendship bracelets, charms, rings, necklaces, key rings and more.</p>

<p>With easy to follow, simple instructions shows you how to make rubber band bracelets. There are endless cool, funky designs to make and so many various combinations of colourful bands to use! Make single and wide pattern bracelets.</p>

<p>For different effects combine multiple loom sets to make longer and wider combinations. Use short combinations to make funky rings and longer ones for crazy necklaces The specially designed loom makes making bracelets a breeze and the easy to follow instructions mean that anyone can join in the Twist, loop and create amazing jewellery, colourful bands can be used to make patterned bracelets,, rings etc There's so much fun to be had creating your own individual designs</p>","<p>&bull; Create your own unique Loom Twisters!</p>

<p>&bull; Contains everything you need to make super fun bracelets!</p>

<p>&bull; All included in a cool, plastic loom case! Note - Contents May Vary</p>","","","","","2015-03-31 00:00:00","2015-04-07 00:00:00","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","6000 Loom Band Kit Complete Collection Box","0","simple","","",""
"admin","base,yabadabadoo,hotbuyer,iwo2,dealnation,amazon","Default","simple","7,14,18,19,20,24","100002","0","Power Bank (Pink) for Phones, Cameras and Games Consoles","","","/p/i/pink_power_bank.jpg","/p/i/pink_power_bank.jpg","/p/i/pink_power_bank.jpg","pink-power-bank-for-ipad-iphone-ipod-samsung-phones-and-many-cameras-and-games-consuls","pink-power-bank-for-ipad-iphone-ipod-samsung-phones-and-many-cameras-and-games-consuls.html","No layout updates","Product Info Column","","","","United Kingdom","Use config","Use config","No","/p/i/pink_power_bank.jpg","","","","0","Electronics > Electronics Accessories > Power > Chargers","","","","29.9900","9.9900","165.0000","29.9900","1.0000","","Enabled","No","Catalog, Search","Taxable Goods","Yes","0","","0","","No","No","No","No","<p>A unique look that will let you stand out from the crowd: More than just a power bank, it's for the colourful.</p>

<p>Pink Power Bank for iPad, iPhone, iPod, Samsung phones as well as many cameras and games consoles.</p>

<p>Shape: Compact design, super portable, easy to hold in your hand and put anywhere your want, e.g. a pocket or bag.</p>

<p>5000mAh rechargeable power capacity, giving your phone enough juice to keep it running (5-6 full charges to your iPhone 5 or 2.5-3.5 charges for Samsung Galaxy S4, S3).</p>

<p>Can also charge MP3/4, iPod, game consoles and some makes of cameras.</p>

<p>USB output: Charge smartphones or an iPad at full speed (USB-DC3.5 output line and micro USB adapter to charge or computer USB for charging mobile power) advanced power lock technology with standby time of up to 6 months once fully charged.</p>

<p>Portable Charger: Suitable for a wide range of occasions, such as parties, BBQs, and outdoor activities like camping, mountain climbing, picnics and biking. Never lose your friends on day/night out because your battery has gone flat..</p>","Pink, ultra-high capacity power bank with a slim, sleek, smartphone-like design. Ideal for outdoor activities.","","","2015-04-26 00:00:00","","2015-03-31 00:00:00","2015-04-07 00:00:00","","","22.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","Power Bank (Pink) for Phones, Cameras and Games Consoles","0","simple","","",""
"admin","base,yabadabadoo,hotbuyer,iwo2,dealnation,amazon","Default","simple","5,19,20,24","10003","0","Magic Expanding Non-kink Retractable 75ft Water Hose (Green)","","","/g/r/green_hose.jpg","/g/r/green_hose.jpg","/g/r/green_hose.jpg","best-non-kink-garden-hose-expands-to-75ft-inluding-sprinkler-on-off-valve-with-connectors-expandable-retractable-water-hose-it-expands-to-3-times-its-length-attaches-to-standard-hozelock-fittings","best-non-kink-garden-hose-expands-to-75ft-inluding-sprinkler-on-off-valve-with-connectors-expandable-retractable-water-hose-it-expands-to-3-times-its-length-attaches-to-standard-hozelock-fittings.html","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","/g/r/green_hose.jpg","","","","0","Home & Garden > Lawn & Garden > Watering & Irrigation > Garden Hoses","","","","9.9900","","800.0000","","","","Enabled","No","Catalog, Search","Taxable Goods","Yes","0","","0","","","","","","<p>Easy to use - Turn the water on and attach the end of your Magic Hose to your water supply, turn on you're ready to go. Setting 7 delivers the high-volume spray, once finished turn the water off and your expanding hose will shrink to its original size.</p>

<p>Compact and easy to store - It can be stored in a shoebox or a small pot, taking up minimal space.</p>

<p>Non-kink and tagle free - No more fighting with frustrating kinks or awkward tangles. Relax and enjoy watering your garden, or washing your car. The polyester fabric cover is made of long lasting durable plastic.</p>

<p>This 7 Function Spray Gun with Lockable Trigger: Whether it's for washing your car or watering the plants. The magic, non-kink, expanding, retractable 75ft green garden hose pipe attaches to standard hozelock fittings.</p>","A lightweight and easy to manage 75ft hose, great for the elderly or those with a bad back. Kink and tangle free, the 7-function spray gun with lockable trigger is ideal for washing your car or watering the plants.","","","","","2015-03-31 00:00:00","2015-04-07 00:00:00","","","9.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","Magic Expanding Non-kink Retractable 75ft Water Hose (Green)","0","simple","","",""
"admin","base,yabadabadoo,hotbuyer,iwo2,dealnation,amazon","Default","simple","5,19,20,24","10007","0","Magic Expanding Non-kink Retractable 25ft Water Hose (Green)","","","/g/r/greenhose_1.jpg","/g/r/greenhose_1.jpg","/g/r/greenhose_1.jpg","best-non-kink-garden-hose-expands-to-25ft-including-sprinkler-on-off-valve-with-connectors-expandable-retractable-water-hose-which-expands-up-to-3-times-its-length-attaches-to-standard-hozelock-fittings","best-non-kink-garden-hose-expands-to-25ft-including-sprinkler-on-off-valve-with-connectors-expandable-retractable-water-hose-which-expands-up-to-3-times-its-length-attaches-to-standard-hozelock-fittings.html","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","/g/r/greenhose_1.jpg","","","","0","Home & Garden > Lawn & Garden > Watering & Irrigation > Garden Hoses","","","","5.9900","","400.0000","","","","Enabled","No","Catalog, Search","Taxable Goods","No","0","","0","","","","","","<p>Easy to use - Turn the water on and attach the end of your Magic Hose to your water supply, turn on you're ready to go. Setting 7 delivers the high-volume spray, once finished turn the water off and your expanding hose will shrink to its original size.</p>

<p>Compact and easy to store - It can be stored in a shoebox or a small pot, taking up minimal space.</p>

<p>Non-kink and tagle free - No more fighting with frustrating kinks or awkward tangles. Relax and enjoy watering your garden, or washing your car. The polyester fabric cover is made of long lasting durable plastic.</p>

<p>This 7 Function Spray Gun with Lockable Trigger: Whether it's for washing your car or watering the plants. The magic, non-kink, expanding, retractable 25ft green garden hose pipe attaches to standard hozelock fittings.</p>

<p>&nbsp;</p>","A lightweight and easy to manage 25ft hose, great for the elderly or those with a bad back. Kink and tangle free, the 7-function spray gun with lockable trigger is ideal for washing your car or watering the plants.","","","","","2015-03-31 00:00:00","2015-04-07 00:00:00","","","3.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","Magic Expanding Non-kink Retractable 25ft Water Hose (Green)","0","simple","","",""
"admin","base,yabadabadoo,hotbuyer,iwo2,dealnation,amazon","Default","simple","5,19,20,24","10004","0","Magic Expanding Non-kink Retractable 75ft Water Hose (Blue)","","","/b/l/bluehose.jpg","/b/l/bluehose.jpg","/b/l/bluehose.jpg","best-non-kink-garden-hose-expands-to-75ft-including-sprinkler-on-off-valve-with-connectors-expandable-retractable-water-hose-which-expands-up-to-3-times-its-length-attaches-to-standard-hozelock-fittings","best-non-kink-garden-hose-expands-to-75ft-including-sprinkler-on-off-valve-with-connectors-expandable-retractable-water-hose-which-expands-up-to-3-times-its-length-attaches-to-standard-hozelock-fittings.html","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","/b/l/bluehose.jpg","Magic Non Kink Blue Garden Hose Expands To 25ft-Including Sprinkler On/Off Valve With Connectors-Expandable Retractable Water Hose Which Expands Up To 3 Times Its Length- Attaches To Standard Hozelock Fittings","","","0","Home & Garden > Lawn & Garden > Watering & Irrigation > Garden Hoses","","","","9.9900","","400.0000","","","","Enabled","No","Catalog, Search","Taxable Goods","No","0","","0","","","","","","<p>Easy to use - Turn the water on and attach the end of your Magic Hose to your water supply, turn on you're ready to go. Setting 7 delivers the high-volume spray, once finished turn the water off and your expanding hose will shrink to its original size.</p>

<p>Compact and easy to store - It can be stored in a shoebox or a small pot, taking up minimal space.</p>

<p>Non-kink and tagle free - No more fighting with frustrating kinks or awkward tangles. Relax and enjoy watering your garden, or washing your car. The polyester fabric cover is made of long lasting durable plastic.</p>

<p>This 7 Function Spray Gun with Lockable Trigger: Whether it's for washing your car or watering the plants. The magic, non-kink, expanding, retractable 75ft blue garden hose pipe attaches to standard hozelock fittings.</p>","A lightweight and easy to manage 75ft hose, great for the elderly or those with a bad back. Kink and tangle free, the 7-function spray gun with lockable trigger is ideal for washing your car or watering the plants.","","","","","2015-03-31 00:00:00","2015-04-07 00:00:00","","","7.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","Magic Expanding Non-kink Retractable 75ft Water Hose (Blue)","0","simple","","",""
"admin","dealnation","Default","simple","6,7,14,16,18,19,20,24","IPH5C00B","0","Apple iPhone 5C 16GB Blue + 1 Year Warranty","","","/a/p/apple-iphone-5c-blue-big.jpg","/a/p/apple-iphone-5c-blue-big.jpg","/a/p/apple-iphone-5c-blue-big.jpg","apple-iphone-5c-16gb-refurbished-blue","apple-iphone-5c-16gb-refurbished-blue.html","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","/a/p/apple-iphone-5c-blue-big.jpg","","","","0","Electronics > Communications > Telephony > Mobile Phones","","","","200.0000","","500.0000","300.0000","","","Disabled","No","Catalog, Search","Taxable Goods","Yes","0","","0","","","","","","<p>Apple iPhone 5C Blue 16GB Refurbished; tested and unlocked.&nbsp;</p>

<p>The Apple iPhone 5C features a 4-inch Retina display.</p>

<p>A6 chip.</p>

<p>8MP iSight camera.</p>

<p>FaceTime camera.</p>

<p>4G LTE and WiFi And iOS 8 and iCloud.</p>

<p>iPhone 5C is engineered to the brightest specifications, comes in five colours and represents eyecatching value.</p>

<p>4-inch (diagonal) Retina display with 1136&times;640 resolution</p>

<p>A6 chip 8-megapixel iSight camera 1080p HD video recording at 30 fps</p>

<p>FaceTime HD camera 4G LTE2 and 802.11n Wi-Fi1 iOS 8 and iCloud</p>","Apple iPhone 5C 16GB Blue + 1 Year Warranty","","","","","","","","","19.0000","0.0000","1","0","0","0","1.0000","1","0.0000","1","1","","0.0000","1","1","0","0","1","0.0000","1","0","0","0","1","Apple iPhone 5C 16GB Blue + 1 Year Warranty","0","simple","","",""
"admin","base,yabadabadoo,hotbuyer,iwo2,dealnation,amazon","Default","simple","14,18,19,20,24","1001","0","Bluetooth Speaker with LED, FM Radio, MP3 and Handsfree Capability","","","/b/l/bluetoothspeaker.jpg","/b/l/bluetoothspeaker.jpg","/b/l/bluetoothspeaker.jpg","bluetooth-handsfree-speaker-with-pulse-led-lightshow-for-disco-party-lightshow-fm-radio-mp3-memory-card-hands-free-phone-use","bluetooth-handsfree-speaker-with-pulse-led-lightshow-for-disco-party-lightshow-fm-radio-mp3-memory-card-hands-free-phone-use.html","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","/b/l/bluetoothspeaker2.jpg","","","","0","Electronics > Audio > Audio Components > Speakers","","","","19.9900","","550.0000","","","","Disabled","No","Catalog, Search","Taxable Goods","Yes","0","","0","","","","","","<p>Bluetooth speaker with mobile phone function for convenience when driving. With a colorful strip shape, this speaker is attractive and simple to use.</p>

<p>Supports MP3 memory cards and can be used as an external wire speaker or Bluetooth speaker so you can enjoy some relaxing music anytime, anywhere.</p>

<p>Three-in-one mobile hands-free conversations. Press pause to answer calls and pause to hang up then music will continue automatically. It can be used for outings, meetings, parties, b<span>arbecues</span>, camping and any outdoor pusuits when connected to 3G/4G.</p>

<p>Bluetooth transmission is suitable for mobile phone and tablet computers. Let the LED lights flash and you can have your very own disco for a kids party or have the light still.</p>

<p>Easy quick charge with USB cable (provided).</p>","Fashionable Bluetooth speaker with LED lightshow, FM radio, MP3 memory card and hands-free phone use.","","","","","2015-04-01 00:00:00","2015-04-08 00:00:00","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","Bluetooth Speaker with LED, FM Radio, MP3 and Handsfree Capability","0","simple","","",""
"admin","base,yabadabadoo,hotbuyer,iwo2,dealnation,amazon","Default","simple","5,18,19,20,24","10009","0","Magic Expanding Non-kink Retractable 25ft Water Hose (Blue)","","","/h/o/hose_blue_2.jpg","/h/o/hose_blue_2.jpg","/h/o/hose_blue_2.jpg","100100","100100.html","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","/h/o/hose_blue_2.jpg","","","","0","Home & Garden > Lawn & Garden > Watering & Irrigation > Garden Hoses","","","","5.9900","","385.0000","","","","Enabled","No","Catalog, Search","Taxable Goods","Yes","0","","0","","","","","","<p>Easy to use - Turn the water on and attach the end of your Magic Hose to your water supply, turn on you're ready to go. Setting 7 delivers the high-volume spray, once finished turn the water off and your expanding hose will shrink to its original size.</p>

<p>Compact and easy to store - It can be stored in a shoebox or a small pot, taking up minimal space.</p>

<p>Non-kink and tagle free - No more fighting with frustrating kinks or awkward tangles. Relax and enjoy watering your garden, or washing your car. The polyester fabric cover is made of long lasting durable plastic.</p>

<p>This 7 Function Spray Gun with Lockable Trigger: Whether it's for washing your car or watering the plants. The magic, non-kink, expanding, retractable 25ft blue garden hose pipe attaches to standard hozelock fittings.</p>","A lightweight and easy to manage 25ft hose, great for the elderly or those with a bad back. Kink and tangle free, the 7-function spray gun with lockable trigger is ideal for washing your car or watering the plants.","","","2015-04-01 00:00:00","2015-04-08 00:00:00","2015-04-01 00:00:00","2015-04-08 00:00:00","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","Magic Expanding Non-kink Retractable 25ft Water Hose (Blue)","0","simple","","",""
"admin","base,yabadabadoo,hotbuyer,iwo2,dealnation,amazon","Default","simple","6,7,18,19,20,24","IPDA200G","0","Apple iPad Air 2 Grey 16GB","","","/6/8/68602f0b-329a-4302-a362-310afa3158831.png","/6/8/68602f0b-329a-4302-a362-310afa3158831.png","/6/8/68602f0b-329a-4302-a362-310afa3158831.png","apple-ipad-air2-16gb-grey","apple-ipad-air2-16gb-grey.html","No layout updates","Product Info Column","","","","United States","Use config","Use config","No","/o/r/original.jpg","","","","0","Electronics > Computers > Tablet Computers","","","","300.0000","","1000.0000","460.0000","","","Disabled","No","Catalog, Search","Shipping","Yes","0","","0","","","","","","<p><em>New Apple iPad Air 2 16GB in Space Grey.</em></p>

<p>The new&nbsp;<strong>iPad Air 2</strong>&nbsp;is here, and it's slimmer and more powerful than ever.</p>

<p>Thinnest iPad ever</p>

<p>At just 6.1 mm thick, the&nbsp;<strong>Air 2&nbsp;</strong>is Apple's thinnest ever iPad. It's impressively light too, so it's easy to hold in one hand, discretely slip into and bag and take anywhere.</p>

<p>It looks and feels great thanks to its aluminium unibody case, while the wraparound design improves rigidity and keeps the important internals safe when on the go.</p>

<p>All-new display</p>

<p>Unlike previous iPad displays, the&nbsp;<strong>Air 2</strong>'s Retina screen is a single component. This eliminates gaps for a brighter picture with improved clarity and colours. It brings the screen closer to your fingertips for a better touch response when playing games and browsing, so you feel more connected to your content than ever before.</p>

<p>While incredible iPad Air picture quality remains, the&nbsp;<strong>iPad Air 2&nbsp;</strong>includes an anti-glare coating that makes it comfortable to use inside, outside and under bright artificial light.</p>

<p>More powerful</p>

<p>Compared to the previous generation, the&nbsp;<strong>iPad Air 2&nbsp;</strong>boasts 40% faster performance thanks to the new A8X processor. From turning on and checking your mail to running demanding apps and games, your whole tablet experience is quicker and more responsive.</p>

<p>It features vastly improved graphics too, so photo-editing and modelling apps run at their best along with beautiful everyday surfing and browsing.</p>

<p>Better battery life</p>

<p>Surprisingly, turning up the performance throughout the&nbsp;<strong>iPad Air&nbsp;</strong>hasn't affected the energy consumption. You still get an all-day 10 battery life that allows you to access the information that matters to you wherever, and whenever, you feel like it.</p>

<p>Fingerprint scanner</p>

<p>Keeping your private information private is quick and easy thanks to the new Touch ID fingerprint scanner - simply swipe your finger over the sensor embedded in the Home button to unlock your account.</p>

<p>iOS 8</p>

<p>The&nbsp;<strong>iPad Air 2&nbsp;</strong>comes preinstalled with iOS 8. Featuring a colourful new design, iCloud integration and tons of new features including the ability to send and receive text messages directly from the tablet when paired with an iPhone, it takes the iOS formula you know and makes it better.</p>

<p>There are now well over a million apps available from the App Store, so whatever you're into, the&nbsp;<strong>iPad Air 2&nbsp;</strong>has something you'll love.</p>

<p>Enjoy the most powerful and compact iPad ever with the&nbsp;<strong>iPad Air 2</strong>.</p>

<p>&nbsp;</p>

<p><iframe src=""https://www.youtube.com/embed/LFYNP40vfmE"" height=""350"" width=""425"" frameborder=""0""></iframe></p>","Apple iPad Air 2 Grey 16GB","","","","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","Apple iPad Air 2 Grey 16GB","0","simple","","",""
